id	Arabic	label	start	end
111111112	أوقفوا أسلمة أمريكا.	Slogans	191	221
111111112	نحن ندين كل أولئك الذين تتعارض سلوكياتهم وآرائهم مع قيمنا المشتركة	Black-and-White_Fallacy	476	556
111111112	اهزم الجهاد 	Slogans	785	798
111111112	الأمة التي أعطت العالم ماجنا كارتا ماتت.	Loaded_Language	958	1015
111111112	لا  ينبغي أبدًا أن تصبح المملكة المتحدة مسرحًا للمتحدثين الملتهبين الذين يروجون للكراهية.	Flag-Waving	1456	1536
111111112	دعاة الكراهية	Name_Calling,Labeling	1810	1824
111111112	مسرور بالقرار.	Loaded_Language	2095	2125
111111112	ضربة موجعة للحرية	Loaded_Language	911	942
111111112	ما يسمى بأرض الديمقراطية وحرية التعبير	Name_Calling,Labeling	1738	1787
111111113	الزناد الشعر في وضع العمل المفرد	Loaded_Language	1396	1430
111111113	سياسة الملاذ الآمن	Name_Calling,Labeling	3082	3099
111111113	يواصل السياسيون في جميع أنحاء هذا البلد تعريض حياة الأمريكيين للخطر من خلال سياسات الملاذ الآمن بينما يتجاهلون الضرر الذي يلحق بناخبيهم .	Whataboutism	3828	3985
111111113	ألقى باللوم في وفاة شتاين على الهجرة غير الشرعية وسياسات الترحيل غير العدوانية بشكل كافٍ.	Causal_Oversimplification	361	469
111111113	كان من الممكن منع هذه المأساة إذا قامت سان فرانسيسكو ببساطة بتحويل الكائن الفضائي إلى شركة الهجرة والجمارك كما طلبنا ، بدلاً من إطلاق سراحه مرة أخرى في الشوارع	Causal_Oversimplification	3580	3741
111111113	كان شتاين لا يزال على قيد الحياة لولا حدود غير آمنة ومعاملة متساهلة تجاه المهاجرين غير الشرعيين المشتبه بهم في السجون المحلية.	Causal_Oversimplification	4865	5007
111111113	تحريف كامل للعدالة.	Loaded_Language	5743	5774
111111113	ابنوا الجدار! 	Slogans	5775	5791
111111113	عاصفة نارية من الغضب	Loaded_Language	259	280
111111113	 دَخِيل 	Loaded_Language	3658	3664
111111113	قاتل كيت شتاينل	Name_Calling,Labeling	5556	5580
111111122	أكبر هدية سياسية ممكنة	Exaggeration,Minimisation	170	206
111111122	حلقة رفيعة المستوى للغاية	Exaggeration,Minimisation	3490	3521
111111122	عصابة لا تستطيع إطلاق النار مباشرة	Name_Calling,Labeling	5029	5062
111111122	صب هوليوود ضبابي  قديم	Loaded_Language	5952	5983
111111122	طرق قبيحة	Loaded_Language	5133	5143
111111122	نجمة تلفزيون الواقع	Name_Calling,Labeling	903	921
111111122	تنفجر في وجه ترامب	Loaded_Language	24	49
111111122	مدى سوء أداء ترامب لوظيفته	Doubt	449	478
111111122	يعكس ضعف نجم تلفزيون الواقع كمرشح رئاسي	Doubt	889	957
111111122	لم يتعلم ترامب ذلك بعد	Doubt	3414	3441
111111122	من السهل التلاعب بترامب من قبل من حوله	Doubt	1476	1523
111111122	فشل ترامب وموظفوه في البيت الأبيض في أداء وظائفهم	Doubt	3993	4049
111111122	كما قال عالم السياسة ريتشارد نيوستادت ، تقوم النخب السياسية باستمرار بتقييم وإعادة تقييم الرئيس	Appeal_to_Authority	5531	5655
111111122	اختبار قطع من جيبه	Loaded_Language	5780	5800
111111122	اختبار قطع من جيبه	Loaded_Language	1637	1657
111111122	شخص يقوم بالتوظيف بناءً على ما يعتقد أنه يجب أن يبدو الشخص الذي يقوم بهذه الوظيفة	Causal_Oversimplification	5842	5923
111111122	قضاة حزبيون محافظون	Name_Calling,Labeling	6841	6870
111111122	تجزئة كاملة	Loaded_Language	343	357
111111122	مشكلة خطيرة	Loaded_Language	3211	3225
111111122	افتراء على جميع النساء	Loaded_Language	4451	4471
111111122	قذائف	Loaded_Language	6443	6454
111111124	انتقد	Loaded_Language	2650	2662
111111124	ينفجرون	Loaded_Language	4098	4111
111111124	رئيس لا يهتم بأي شيء بالدولة وكل ما يهمه مصلحته الشخصية	Name_Calling,Labeling	4661	4760
111111124	العدد الهائل	Exaggeration,Minimisation	3368	3381
111111124	من الواضح أن هذا ليس عاقبة لرئيس لا يهتم بأي شيء بالدولة وكل ما يهمه مصلحته الشخصية 	Flag-Waving	4622	4760
111111124	وكالات تتدافع	Loaded_Language	0	18
111111124	كانوا يتدافعون	Loaded_Language	107	123
111111124	أعاق الإدارة لأكثر من 18 شهرًا	Loaded_Language	282	338
111111124	عار مسؤولي مكتب التحقيقات الفدرالي السابق	Name_Calling,Labeling	510	541
111111124	 وكيل مكتب التحقيقات الفيدرالي الخاص المطرود	Name_Calling,Labeling	2478	2502
111111124	يروجون لأمر الرئيس	Loaded_Language	3557	3590
111111124	قرر ترامب التدخل في تحقيق معلق لإنفاذ القانون من خلال إصدار أمر بالإفراج الانتقائي عن المواد التي يعتقد أنها مفيدة لفريق دفاعه ويعتقد أنها ستقدم رواية كاذبة	Causal_Oversimplification	4170	4377
111111124	خط أحمر لا يجب تجاوزه	Loaded_Language	4540	4576
111111124	من الواضح أن هذا ليس عاقبة لرئيس لا يهتم بأي شيء بالدولة وكل ما يهمه مصلحته الشخصية 	Doubt	4622	4760
111111124	مذكرة حزبية	Name_Calling,Labeling	4920	4936
111111124	إساءة استخدام واضحة للسلطة	Name_Calling,Labeling	4144	4164
111111131	زعيم مستبد	Name_Calling,Labeling	398	413
111111131	دكتاتور وحشي	Name_Calling,Labeling	1978	1993
111111131	جنودنا	Flag-Waving	5905	5917
111111131	وحشية	Loaded_Language	4225	4231
111111131	جنودنا	Flag-Waving	5939	5951
111111131	الناس سوف يكونون منبهرون جدا	Black-and-White_Fallacy	1031	1068
111111131	غير مسبوق	Loaded_Language	84	97
111111131	سريالي	Loaded_Language	102	109
111111131	بلغت ذروتها	Loaded_Language	180	190
111111131	باهظ	Loaded_Language	207	214
111111131	 مُنْتَصِر	Loaded_Language	326	336
111111131	إسْتِثْنائِيّ	Loaded_Language	352	365
111111131	مملكة مارقة	Name_Calling,Labeling	382	395
111111131	تَمْثِيليّ	Loaded_Language	723	731
111111131	إلى الأبد	Exaggeration,Minimisation	804	811
111111131	فترة ترامب التي تحركها حدسها وتحطم المعايير.	Name_Calling,Labeling	823	866
111111131	صارم 	Loaded_Language	1191	1201
111111131	لا يمكن تصوره	Loaded_Language	2661	2672
111111131	 لاذِع 	Loaded_Language	2729	2740
111111131	معضلة كبيرة	Loaded_Language	2913	2924
111111131	مشكلة كبيرة	Loaded_Language	2898	2909
